"","year","region","Category","gdp_income_scalingfactor","gdp_percap","Income"
"1735",2090,"Canada","d5",0.0470149766583156,128440.718801514,6038.63739643048
"1736",2090,"Canada","d6",0.0545183790938178,128440.718801514,7002.37979870342
"1737",2090,"Canada","d7",0.0634395696916546,128440.718801514,8148.22393165488
"1738",2090,"Canada","d8",0.075048662643006,128440.718801514,9639.30417496005
"1739",2090,"Canada","d9",0.0922112827802268,128440.718801514,11843.683441902
"1740",2090,"Canada","d10",0.143514349013427,128440.718801514,18433.086145616
"1741",2095,"Canada","d1",0.0158570509564658,136387.087932036,2162.69700314228
"1742",2095,"Canada","d2",0.0264877772841677,136387.087932036,3612.59080957997
"1743",2095,"Canada","d3",0.0336400531990181,136387.087932036,4588.06889369285
"1744",2095,"Canada","d4",0.0402400753104289,136387.087932036,5488.22668975522
"1745",2095,"Canada","d5",0.0470149766583156,136387.087932036,6412.23575562031
"1746",2095,"Canada","d6",0.0545183790938178,136387.087932036,7435.6029633806
"1747",2095,"Canada","d7",0.0634395696916546,136387.087932036,8652.33816990622
"1748",2095,"Canada","d8",0.075048662643006,136387.087932036,10235.6685510734
"1749",2095,"Canada","d9",0.0922112827802268,136387.087932036,12576.4283328726
"1750",2095,"Canada","d10",0.143514349013427,136387.087932036,19573.5041384032
"1751",2100,"Canada","d1",0.0158570509564658,145235.957131623,2303.01397294723
"1752",2100,"Canada","d2",0.0264877772841677,145235.957131623,3846.97768615535
"1753",2100,"Canada","d3",0.0336400531990181,145235.957131623,4885.74532431809
"1754",2100,"Canada","d4",0.0402400753104289,145235.957131623,5844.30585275872
"1755",2100,"Canada","d5",0.0470149766583156,145235.957131623,6828.26513449137
"1756",2100,"Canada","d6",0.0545183790938178,145235.957131623,7918.02896895528
"1757",2100,"Canada","d7",0.0634395696916546,145235.957131623,9213.70662418574
"1758",2100,"Canada","d8",0.075048662643006,145235.957131623,10899.7643504052
"1759",2100,"Canada","d9",0.0922112827802268,145235.957131623,13392.393912921
"1760",2100,"Canada","d10",0.143514349013427,145235.957131623,20843.4438410868
"1761",1975,"Central America and Caribbean","d1",0.00609551337481937,3090.6009705941,18.8387995524861
"1762",1975,"Central America and Caribbean","d2",0.0153676048559441,3090.6009705941,47.4951344834873
"1763",1975,"Central America and Caribbean","d3",0.0238496166301492,3090.6009705941,73.7096483054364
"1764",1975,"Central America and Caribbean","d4",0.0315285449082605,3090.6009705941,97.4421514948897
"1765",1975,"Central America and Caribbean","d5",0.0415257946003966,3090.6009705941,128.339661096677
"1766",1975,"Central America and Caribbean","d6",0.053973814246122,3090.6009705941,166.811522695731
"1767",1975,"Central America and Caribbean","d7",0.0710769839544579,3090.6009705941,219.670595596549
"1768",1975,"Central America and Caribbean","d8",0.0927308761795322,3090.6009705941,286.594135924503
"1769",1975,"Central America and Caribbean","d9",0.145714091728091,3090.6009705941,450.344113324076
"1770",1975,"Central America and Caribbean","d10",0.343984307197665,3090.6009705941,1063.11823369424
"1771",1990,"Central America and Caribbean","d1",0.00609551337481937,3432.5401323576,20.92309428639
"1772",1990,"Central America and Caribbean","d2",0.0153676048559441,3432.5401323576,52.7499204062415
"1773",1990,"Central America and Caribbean","d3",0.0238496166301492,3432.5401323576,81.8647662243304
"1774",1990,"Central America and Caribbean","d4",0.0315285449082605,3432.5401323576,108.222995712443
